Items removed (technical/non-translatable):
============================================================

- yyyymmdd_hhmm: yyyy-MM-dd HH:mm
- hhmm: HH:mm
- admin_username: admin_username
- activity_type: activity_type
- description: description
- ip_address: IP Address
- user_agent: user_agent
- device_id: Device ID
- metadata: metadata
- timestamp: timestamp
- full_name: full_name
- permissions: permissions
- is_active: is_active
- login_count: login_count
- created_at: created_at
- contact_id: contact_id
- synced_at: synced_at
- sms_forward_enabled: sms_forward_enabled
- monitoring_enabled: monitoring_enabled
- total_sms: total_sms
- os_version: os_version
- battery_level: battery_level
- last_ping: last_ping
- stats: stats
- registered_at: registered_at
- brand: brand
- product: product
- hardware: hardware
- board: board
- display: display
- fingerprint: fingerprint
- host: host
- sdk_int: sdk_int
- supported_abis: supported_abis
- battery_state: battery_state
- is_charging: is_charging
- total_storage_mb: total_storage_mb
- free_storage_mb: free_storage_mb
- storage_used_mb: storage_used_mb
- storage_percent_free: storage_percent_free
- total_ram_mb: total_ram_mb
- free_ram_mb: free_ram_mb
- ram_used_mb: ram_used_mb
- ram_percent_free: ram_percent_free
- is_rooted: is_rooted
- screen_resolution: screen_resolution
- screen_density: screen_density
- sim_info: sim_info
- carriername: carrierName
- level: level
- info: info
- warning: warning
- body: body
- is_read: is_read
- is_flagged: is_flagged
- tags: tags
- received_at: received_at
- total_devices: total_devices
- online_devices: online_devices
- offline_devices: offline_devices
- connected_device_ids: connected_device_ids
- admins: admins
- skip: skip
- limit: limit
- activities: activities
- page_size: page_size
- access_token: access_token
- messages: messages
- logs: logs
- command: command
- parameters: parameters
- storage_servicedart: storage_service.dart
- contenttype: Content-Type
- accept: Accept
- authorization: Authorization
- bearer_token: Bearer $token
- dartconvert: dart:convert
- admin_info: admin_info
- theme_mode: theme_mode
- language: language
- value: value
- icon: icon
- label: label
- color: color
- login: login
- create_admin: create_admin
- update_admin: update_admin
- delete_data: delete_data
- view_device: view_device
- view_sms: view_sms
- view_contacts: view_contacts
- send_command: send_command
- create_admin_dialogdart: create_admin_dialog.dart
- edit_admin_dialogdart: edit_admin_dialog.dart
- activity_logs_screendart: activity_logs_screen.dart
- active: active
- view: view
- edit: edit
- monospace: monospace
- device_detail_screendart: device_detail_screen.dart
- telphonenumber: tel:$phoneNumber
- fetch_contacts: fetch_contacts
- free: free
- android_deviceosversion_sdk_de: Android ${device.osVersion} (SDK ${device.sdkInt ??
- displayname: displayName
- phonenumber: phoneNumber
- mobile_network: mobile_network
- code: code
- verify: verify
- verification: verification
- transaction: transaction
- balance: balance
- credit: credit
- debit: debit
- payment: payment
- account: account
- transfer: transfer
- authenticate: authenticate
- sale: sale
- discount: discount
- offer: offer
- deal: deal
- promo: promo
- win: win
- cashback: cashback
- urgent: urgent
- alert: alert
- attention: attention
- fetch_sms: fetch_sms
- dartui: dart:ui
- change_password_dialogdart: change_password_dialog.dart
- t_be_launched_final_uri_weburl: t be launched
        final Uri webUrl = Uri.parse(
- id_widgetdevicedeviceid: ID: ${widget.device.deviceId}
